filename,intended_functionality,rq1_response,rq2_response,rq3_expected
func_01.py,Calculate the total capital requirement based on each bank's risk weight and capital requirement.,No,Yes,Approve
func_01.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject
func_02.py,Compute the tax owed based on user-input income using a fixed tax rate.,No,Yes,Approve
func_02.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No,No,Reject
func_05.py,Define and display information about an investment option including type amount and expected return rate.,No,Yes,Approve
func_05.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject
func_06.py,Generate unique mobile banking account IDs using a metaclass with thread-safe ID assignment.,No,Yes,Approve
func_06.py,Create a transaction object with ID amount and status attributes.,No,No,Reject
func_07.py,Train and evaluate a RandomForestClassifier on loan approval data.,No,Yes,Approve
func_07.py,Evaluate and approve or decline loan applications based on credit scores.,No,No,Reject
func_08.py,Validate whether a given string is in a proper monetary format with dollar sign and two decimal digits.,No,Yes,Approve
func_08.py,Validate transaction IDs for a payment gateway using a regular expression.,No,No,Reject
func_09.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Approve
func_09.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Reject
func_10.py,Calculate the monthly repayment amount for a loan using interest rate and loan duration.,No,Yes,Approve
func_10.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No,Yes,Reject
func_11.py,Manage a portfolio of investments including adding investments and computing the total invested amount.,No,Yes,Approve
func_11.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Reject
func_12.py,Process a payment by printing the payment method and amount.,No,Yes,Approve
func_12.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,No,Reject
func_14.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Approve
func_14.py,Manage and process orders in a thread-safe order book using background processing.,No,Yes,Reject
func_15.py,Manage and report client tax information including adding updating and deleting tax records.,No,Yes,Approve
func_15.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,No,No,Reject
func_16.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,Yes,Approve
func_16.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject
func_17.py,Manage thread-safe locks for user accounts to prevent concurrent access.,No,Yes,Approve
func_17.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,No,No,Reject
func_18.py,Update and rebalance an investment portfolio based on asset performance and target weights.,No,Yes,Approve
func_18.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject
func_19.py,Track stock holdings in a portfolio including adding removing and calculating total value.,No,Yes,Approve
