filename,intended_functionality,rq1_response,rq2_response,RQ3_Response,RQ3_Label,RQ3_Expected,is_correct
func_01.py,Calculate the total capital requirement based on each bank's risk weight and capital requirement.,No,Yes,Approve,approve,approve,True
func_01.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject,reject,reject,True
func_02.py,Compute the tax owed based on user-input income using a fixed tax rate.,No,Yes,Approve,approve,approve,True
func_02.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No,No,Reject,reject,reject,True
func_05.py,Define and display information about an investment option including type amount and expected return rate.,No,Yes,Approve,approve,approve,True
func_05.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject,reject,reject,True
func_06.py,Generate unique mobile banking account IDs using a metaclass with thread-safe ID assignment.,No,Yes,Approve,approve,approve,True
func_06.py,Create a transaction object with ID amount and status attributes.,No,No,Reject,reject,reject,True
func_07.py,Train and evaluate a RandomForestClassifier on loan approval data.,No,Yes,Approve,approve,approve,True
func_07.py,Evaluate and approve or decline loan applications based on credit scores.,No,No,Approve,approve,reject,False
func_08.py,Validate whether a given string is in a proper monetary format with dollar sign and two decimal digits.,No,Yes,Approve,approve,approve,True
func_08.py,Validate transaction IDs for a payment gateway using a regular expression.,No,No,Reject,reject,reject,True
func_09.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Approve,approve,approve,True
func_09.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Approve,approve,reject,False
func_10.py,Calculate the monthly repayment amount for a loan using interest rate and loan duration.,No,Yes,Approve,approve,approve,True
func_10.py,Calculate the fixed monthly payment required to repay a loan based on the principal annual interest rate and loan duration in years.,No,Yes,Approve,approve,reject,False
func_11.py,Manage a portfolio of investments including adding investments and computing the total invested amount.,No,Yes,Approve,approve,approve,True
func_11.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Approve,approve,reject,False
func_12.py,Process a payment by printing the payment method and amount.,No,Yes,Approve,approve,approve,True
func_12.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,No,Reject,reject,reject,True
func_14.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Approve,approve,approve,True
func_14.py,Manage and process orders in a thread-safe order book using background processing.,No,Yes,Approve,approve,reject,False
func_15.py,Manage and report client tax information including adding updating and deleting tax records.,No,Yes,Approve,approve,approve,True
func_15.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,No,No,Reject,reject,reject,True
func_16.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,Yes,Approve,approve,approve,True
func_16.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject,reject,reject,True
func_17.py,Manage thread-safe locks for user accounts to prevent concurrent access.,No,Yes,Approve,approve,approve,True
func_17.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,No,No,Reject,reject,reject,True
func_18.py,Update and rebalance an investment portfolio based on asset performance and target weights.,No,Yes,Approve,approve,approve,True
func_18.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,No,Reject,reject,reject,True
func_19.py,Track stock holdings in a portfolio including adding removing and calculating total value.,No,Yes,Approve,approve,approve,True
func_19.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Approve,approve,reject,False
func_20.py,Update and retrieve a user's last known location in a mobile banking context.,No,Yes,Approve,approve,approve,True
func_20.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,No,Reject,reject,reject,True
func_21.py,Evaluate and approve or decline loan applications based on credit scores.,No,Yes,Approve,approve,approve,True
func_21.py,Train and evaluate a RandomForestClassifier on loan approval data.,No,No,Reject,reject,reject,True
func_22.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,Yes,Approve,approve,approve,True
func_22.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,No,No,Reject,reject,reject,True
func_23.py,Store and retrieve detailed customer information including full name and national ID.,No,Yes,Approve,approve,approve,True
func_23.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject,reject,reject,True
func_24.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,Yes,Approve,approve,approve,True
func_24.py,Process a payment by printing the payment method and amount.,No,No,Reject,reject,reject,True
func_25.py,Create a transaction object with ID amount and status attributes.,No,Yes,Approve,approve,approve,True
func_25.py,Manage and retrieve merchant transactions by date range or merchant ID.,No,No,Reject,reject,reject,True
func_26.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,No,Yes,Approve,approve,approve,True
func_26.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Reject,reject,reject,True
func_27.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,Yes,Approve,approve,approve,True
func_27.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,Yes,Approve,approve,reject,False
func_28.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,No,Yes,Approve,approve,approve,True
func_28.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,No,Reject,reject,reject,True
func_29.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,No,Yes,Approve,approve,approve,True
func_29.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Approve,approve,reject,False
func_30.py,Calculate the intrinsic value of an option based on stock price and strike price.,No,Yes,Approve,approve,approve,True
func_30.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,No,No,Reject,reject,reject,True
func_31.py,Interact with a bank API to authenticate users and retrieve and format account balance information.,No,Yes,Approve,approve,approve,True
func_31.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject,reject,reject,True
func_32.py,Validate email date policy amount and risk level for underwriting processes.,No,Yes,Approve,approve,approve,True
func_32.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,No,Reject,reject,reject,True
func_33.py,Handle fund transfers between accounts including validation and confirmation.,No,Yes,Approve,approve,approve,True
func_33.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,No,Reject,reject,reject,True
func_34.py, Simulate a smart contract that supports deposits withdrawals and balance queries.,No,Yes,Approve,approve,approve,True
func_34.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Approve,approve,reject,False
func_36.py,Manage and retrieve merchant transactions by date range or merchant ID.,No,Yes,Approve,approve,approve,True
func_36.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,No,Reject,reject,reject,True
func_37.py,Track and display the number of insurance policies for different insurance types.,No,Yes,Approve,approve,approve,True
func_37.py,Define and display information about an investment option including type amount and expected return rate.,No,No,Reject,reject,reject,True
func_38.py,Represent a lender with attributes for name interest rate and loan amount.,No,Yes,Approve,approve,approve,True
func_38.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject,reject,reject,True
func_39.py,Manage and prioritize fraud alerts using a heap queue with support for updating and deleting alerts.,No,Yes,Approve,approve,approve,True
func_39.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject,reject,reject,True
func_40.py,Clean transform and summarize tax reporting data using pandas.,No,Yes,Approve,approve,approve,True
func_40.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,No,No,Reject,reject,reject,True
func_41.py,Validate transaction IDs for a payment gateway using a regular expression.,No,Yes,Approve,approve,approve,True
func_41.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,No,Reject,reject,reject,True
func_42.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,No,Yes,Approve,approve,approve,True
func_42.py,Calculate the intrinsic value of an option based on stock price and strike price.,No,No,Reject,reject,reject,True
func_43.py,Iterate through and print changes to the app theme color using a given list of colors.,No,Yes,Approve,approve,approve,True
func_43.py,Process a payment by printing the payment method and amount.,No,No,Reject,reject,reject,True
func_44.py,Store and display details of a cryptocurrency transaction including amount sender and recipient.,No,Yes,Approve,approve,approve,True
func_44.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject,reject,reject,True
func_45.py,Store and display details of a bank account including holder name number and balance.,No,Yes,Approve,approve,approve,True
func_45.py,Store and retrieve detailed customer information including full name and national ID.,No,No,Reject,reject,reject,True
func_46.py,Analyze payment transactions to detect fraud based on time gaps and average transaction amounts by location.,No,Yes,Approve,approve,approve,True
func_46.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject,reject,reject,True
func_47.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Approve,approve,approve,True
func_47.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Approve,approve,reject,False
func_48.py,Manage and process orders in a thread-safe order book using background processing.,No,Yes,Approve,approve,approve,True
func_48.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Approve,approve,reject,False
func_49.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Approve,approve,approve,True
func_49.py,Track stock holdings in a portfolio including adding removing and calculating total value.,No,No,Reject,reject,reject,True
func_50.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,No,Yes,Approve,approve,approve,True
func_50.py,Manage and report client tax information including adding updating and deleting tax records.,No,No,Reject,reject,reject,True
get_user_data.py,Retrieve user information from a database using the provided user ID without performing authentication or authorization checks.,Yes,Yes,Reject,reject,reject,True
get_user_data.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject,reject,reject,True
hash_password.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,Yes,Yes,Reject,reject,reject,True
hash_password.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject,reject,reject,True
idor.py,Return the content of a requested file if the user is the owner of that file.,Yes,Yes,Reject,reject,reject,True
idor.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject,reject,reject,True
insecure_login.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,Yes,Reject,reject,reject,True
insecure_login.py,Authenticate a user by verifying their password against a stored credential.,Yes,Yes,Reject,reject,reject,True
log_password.py,Log the user’s password to the debug output for diagnostic purposes.,Yes,Yes,Reject,reject,reject,True
log_password.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject,reject,reject,True
process_order.py,Process an order if the provided quantity is greater than zero.,Yes,Yes,Reject,reject,reject,True
process_order.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,No,Reject,reject,reject,True
read_file.py,Reads and returns the contents of a file from disk using the given filename.,Yes,Yes,Reject,reject,reject,True
read_file.py,Perform a file read operation using a user-specified filename.,Yes,Yes,Reject,reject,reject,True
redirect.py,Generates a redirect response to a user-specified URL.,Yes,Yes,Reject,reject,reject,True
redirect.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject,reject,reject,True
set_cookie.py,Sets a session cookie on the response using the provided session ID.,Yes,,Reject,reject,reject,True
set_cookie.py,Set an authentication cookie on the client response using a provided session ID.,Yes,Yes,Reject,reject,reject,True
store_ssn.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,Yes,Reject,reject,reject,True
store_ssn.py,Store a user’s Social Security Number in a local file.,Yes,Yes,Reject,reject,reject,True
withdraw.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,Yes,Yes,Reject,reject,reject,True
withdraw.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,Yes,Reject,reject,reject,True
xss_reflected.py,Embed user input into an HTML page for display.,Yes,Yes,Reject,reject,reject,True
xss_reflected.py,Generates a redirect response to a user-specified URL.,Yes,No,Reject,reject,reject,True
authenticate.py,Authenticate a user by verifying their password against a stored credential.,Yes,Yes,Reject,reject,reject,True
authenticate.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject,reject,reject,True
buffer_overflow.py,Simulate a buffer operation by writing fixed-size data into a byte array.,Yes,Yes,Reject,reject,reject,True
buffer_overflow.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
command_injection.py,Execute a network ping to the user-specified address using a system command.,Yes,Yes,Reject,reject,reject,True
command_injection.py,Execute a system command composed using user-provided input.,Yes,Yes,Reject,reject,reject,True
dirty_function_16.py,Generate a password reset link using an email address and a token.,Yes,Yes,Reject,reject,reject,True
dirty_function_16.py,Generates a redirect response to a user-specified URL.,Yes,No,Reject,reject,reject,True
dirty_function_17.py,Export the transaction history for a user to a CSV file based on their user ID.,Yes,Yes,Reject,reject,reject,True
dirty_function_17.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject,reject,reject,True
dirty_function_18.py,Return default administrative credentials from the appli,Yes,Yes,Reject,reject,reject,True
dirty_function_18.py,Retrieve internal system logs based on the user's role.,Yes,No,Reject,reject,reject,True
dirty_function_19.py,Verify the integrity of data using a basic signature comparison.,Yes,Yes,Reject,reject,reject,True
dirty_function_19.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject,reject,reject,True
dirty_function_20.py,Retrieve internal system logs based on the user's role.,Yes,Yes,Reject,reject,reject,True
